IP_Address,Total_Requests,DELETE_Perc,GET_Perc,POST_Perc,PUT_Perc,4xx_Perc,5xx_Perc,Other_Perc,Unique_User_Agents,Unique_Sessions,Unique_Locations,Anomaly_Count,Top_User_Agent,Top_Location
1.0.25.247,3,0.666666667,0,0,0.333333333,0.333333333,0,0.666666667,2,3,3,0,Opera,Mongolia
1.1.180.252,4,0.25,0.25,0.5,0,0.25,0.25,0.5,2,4,4,0,Firefox,Montenegro
1.1.21.105,7,0.142857143,0.285714286,0.428571429,0.142857143,0.428571429,0.285714286,0.285714286,4,7,7,1,Safari,Australia
1.1.62.217,4,0,0.5,0.25,0.25,0,0.75,0.25,3,4,4,0,Chrome,Switzerland
1.100.140.68,4,0,0.5,0.5,0,0.5,0,0.5,3,4,4,0,Bot,Belize
1.101.144.114,1,0,0,1,0,1,0,0,1,1,1,0,Firefox,France
1.105.143.190,5,0.2,0.2,0.2,0.4,0.2,0.4,0.4,4,5,5,0,Bot,Bulgaria
1.105.203.201,6,0,0.5,0,0.5,0.666666667,0.166666667,0.166666667,4,6,5,0,Safari,Faroe Islands
1.108.146.246,1,0,0,0,1,1,0,0,1,1,1,0,Bot,USA
1.11.243.110,4,0.25,0.25,0,0.5,0,0.5,0.5,3,4,4,0,Chrome,San Marino
1.11.29.34,4,0.5,0.25,0.25,0,0.25,0,0.75,4,4,4,0,Firefox,French Polynesia
1.110.138.224,1,0,0,0,1,0,1,0,1,1,1,0,Edge,India
1.112.248.127,3,0.666666667,0,0,0.333333333,0.333333333,0,0.666666667,3,3,3,0,Chrome,Libyan Arab Jamahiriya
1.112.75.191,4,0.25,0,0.5,0.25,0.75,0.25,0,4,4,4,0,Bot,Sudan
1.114.13.16,1,0,0,0,1,0,0,1,1,1,1,0,Edge,USA
1.114.241.24,1,0,0,0,1,0,1,0,1,1,1,0,Firefox,Germany
1.114.64.3,3,0.333333333,0,0.333333333,0.333333333,0.666666667,0.333333333,0,2,3,3,0,Edge,Bouvet Island (Bouvetoya)
1.115.173.20,3,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,3,3,3,0,Opera,Palestinian Territory
1.115.26.132,3,0.666666667,0,0.333333333,0,0.666666667,0,0.333333333,2,3,3,0,Opera,Lesotho
1.115.77.100,6,0.333333333,0,0.166666667,0.5,0.166666667,0,0.833333333,3,6,6,0,Opera,Zambia
1.116.239.103,1,0,0,1,0,1,0,0,1,1,1,0,Chrome,Belarus
1.117.250.190,3,0.333333333,0.666666667,0,0,0.666666667,0,0.333333333,2,3,3,0,Opera,Suriname
1.117.76.17,4,0.25,0,0.5,0.25,0.25,0.25,0.5,3,4,4,0,Firefox,Croatia
1.118.47.120,1,0,0,0,1,0,1,0,1,1,1,0,Firefox,Korea
1.119.235.193,1,1,0,0,0,1,0,0,1,1,1,0,Firefox,Honduras
1.119.41.131,6,0.333333333,0.333333333,0.166666667,0.166666667,0.333333333,0.166666667,0.5,5,6,6,0,Chrome,Honduras
1.119.75.48,1,0,1,0,0,0,1,0,1,1,1,0,Bot,China
1.127.172.129,2,0,0.5,0,0.5,0.5,0,0.5,1,2,2,0,Opera,Bahamas
1.129.13.167,4,0.75,0,0.25,0,0.25,0.25,0.5,3,4,4,0,Firefox,Kenya
1.129.169.29,5,0,0.6,0.4,0,0.2,0,0.8,3,5,5,0,Safari,Morocco
1.130.209.146,3,0,0,0.666666667,0.333333333,0.666666667,0.333333333,0,3,3,3,0,Safari,Denmark
1.131.62.198,1,0,0,1,0,1,0,0,1,1,1,0,Firefox,Slovenia
1.133.210.188,4,0.5,0.25,0.25,0,0.5,0,0.5,2,4,4,0,Chrome,Azerbaijan
1.133.246.198,4,0.25,0.5,0,0.25,0.5,0.25,0.25,2,4,4,0,Bot,Jamaica
1.134.215.126,1,0,0,0,1,1,0,0,1,1,1,0,Opera,India
1.136.181.79,1,0,0,0,1,1,0,0,1,1,1,0,Opera,India
1.137.142.162,1,0,0,1,0,0,0,1,1,1,1,0,Opera,Colombia
1.139.117.156,1,0,0,1,0,1,0,0,1,1,1,0,Bot,Northern Mariana Islands
1.142.225.92,8,0.625,0.25,0,0.125,0.375,0.375,0.25,3,8,8,0,Safari,Madagascar
1.142.3.18,3,0.333333333,0.333333333,0.333333333,0,0.666666667,0,0.333333333,3,3,3,0,Chrome,Italy
1.144.48.215,5,0.2,0.2,0.4,0.2,0.2,0,0.8,3,5,5,0,Opera,Malawi
1.147.233.92,2,1,0,0,0,1,0,0,2,2,2,0,Edge,Monaco
1.148.140.62,1,0,1,0,0,1,0,0,1,1,1,0,Chrome,China
1.149.138.252,1,0,0,0,1,0,1,0,1,1,1,0,Bot,Brazil
1.149.179.186,1,0,0,1,0,0,0,1,1,1,1,0,Chrome,Brazil
1.149.187.127,1,0,1,0,0,0,0,1,1,1,1,0,Edge,India
1.150.40.114,5,0.2,0.2,0.2,0.4,0,0.4,0.6,3,5,5,0,Edge,Samoa
1.151.192.3,3,0,0.666666667,0.333333333,0,0.333333333,0,0.666666667,2,3,3,0,Edge,Kuwait
1.153.196.75,4,0,0.25,0.5,0.25,0.25,0.25,0.5,3,4,4,0,Safari,Israel
1.153.205.102,1,1,0,0,0,1,0,0,1,1,1,0,Edge,China
1.154.228.81,2,0,1,0,0,0,0.5,0.5,2,2,2,0,Opera,Sri Lanka
1.155.81.6,3,0.333333333,0.333333333,0.333333333,0,0.666666667,0,0.333333333,2,3,3,0,Bot,Bouvet Island (Bouvetoya)
1.157.94.54,4,0.25,0.5,0.25,0,0.25,0,0.75,3,4,3,0,Chrome,Seychelles
1.158.135.185,3,0,0.333333333,0.666666667,0,0.666666667,0,0.333333333,3,3,3,0,Chrome,Lao People's Democratic Republic
1.16.246.255,2,0,0,0.5,0.5,0,0,1,2,2,2,0,Firefox,Bouvet Island (Bouvetoya)
1.161.104.45,5,0,0.2,0.4,0.4,0.4,0.4,0.2,3,5,5,0,Chrome,Equatorial Guinea
1.161.123.139,4,0.5,0,0,0.5,0.25,0.5,0.25,2,4,4,0,Chrome,Martinique
1.165.103.52,1,1,0,0,0,0,1,0,1,1,1,0,Bot,China
1.165.228.85,1,0,0,0,1,1,0,0,1,1,1,0,Chrome,Djibouti
