IP Address,Total_Requests,DELETE_Perc,GET_Perc,POST_Perc,PUT_Perc,4xx_Perc,5xx_Perc,Other_Perc,Unique_User_Agents,Unique_Sessions,Unique_Locations,Top_User_Agent,Top_Location,Label
1.0.25.247,3,0.666666667,0,0,0.333333333,0.333333333,0,0.666666667,2,3,3,Opera,Mongolia,1
1.1.180.252,4,0.25,0.25,0.5,0,0.25,0.25,0.5,2,4,4,Firefox,Montenegro,1
1.1.21.105,7,0.142857143,0.285714286,0.428571429,0.142857143,0.428571429,0.285714286,0.285714286,4,7,7,Safari,Australia,-1
1.1.62.217,4,0,0.5,0.25,0.25,0,0.75,0.25,3,4,4,Chrome,Switzerland,1
1.100.140.68,4,0,0.5,0.5,0,0.5,0,0.5,3,4,4,Bot,Belize,1
1.101.144.114,1,0,0,1,0,1,0,0,1,1,1,Firefox,France,1
1.105.143.190,5,0.2,0.2,0.2,0.4,0.2,0.4,0.4,4,5,5,Bot,Bulgaria,-1
1.105.203.201,6,0,0.5,0,0.5,0.666666667,0.166666667,0.166666667,4,6,5,Safari,Faroe Islands,-1
1.108.146.246,1,0,0,0,1,1,0,0,1,1,1,Bot,USA,1
1.11.243.110,4,0.25,0.25,0,0.5,0,0.5,0.5,3,4,4,Chrome,San Marino,1
1.11.29.34,4,0.5,0.25,0.25,0,0.25,0,0.75,4,4,4,Firefox,French Polynesia,-1
1.110.138.224,1,0,0,0,1,0,1,0,1,1,1,Edge,India,1
1.112.248.127,3,0.666666667,0,0,0.333333333,0.333333333,0,0.666666667,3,3,3,Chrome,Libyan Arab Jamahiriya,1
1.112.75.191,4,0.25,0,0.5,0.25,0.75,0.25,0,4,4,4,Bot,Sudan,-1
1.114.13.16,1,0,0,0,1,0,0,1,1,1,1,Edge,USA,1
1.114.241.24,1,0,0,0,1,0,1,0,1,1,1,Firefox,Germany,1
1.114.64.3,3,0.333333333,0,0.333333333,0.333333333,0.666666667,0.333333333,0,2,3,3,Edge,Bouvet Island (Bouvetoya),1
1.115.173.20,3,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,3,3,3,Opera,Palestinian Territory,1
1.115.26.132,3,0.666666667,0,0.333333333,0,0.666666667,0,0.333333333,2,3,3,Opera,Lesotho,1
1.115.77.100,6,0.333333333,0,0.166666667,0.5,0.166666667,0,0.833333333,3,6,6,Opera,Zambia,-1
1.116.239.103,1,0,0,1,0,1,0,0,1,1,1,Chrome,Belarus,1
1.117.250.190,3,0.333333333,0.666666667,0,0,0.666666667,0,0.333333333,2,3,3,Opera,Suriname,1
1.117.76.17,4,0.25,0,0.5,0.25,0.25,0.25,0.5,3,4,4,Firefox,Croatia,1
1.118.47.120,1,0,0,0,1,0,1,0,1,1,1,Firefox,Korea,1
1.119.235.193,1,1,0,0,0,1,0,0,1,1,1,Firefox,Honduras,1
